no,code,name,industry_code,industry,shares,capital_stock,par_value
1704,241840,ASTORY,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,9539994,4769997000,500
1013,242040,NAMU TECH,105802,Software Development and Supply,34606264,3460626400,100
2504,243070,HUONS,32102,Manufacture of Medicaments,11979665,5989832500,500
1533,243840,SHIN HEUNG SEC,32802,Manufacture of Primary Cells and Batteries and Accumulators,7763229,19408072500,2500
2519,243870,Goodcen,106201,Computer programming System Integration and Management Services,2583805,1291902500,500
1832,244460,OLIPASS,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,30082551,15041275500,500
2521,244880,NANOOM,32701,Manufacture of Medical Appliances and Instruments,5020000,2510000000,500
499,244920,A Plus Asset,116602,Activities Auxiliary to Insurance and Pension Funding,22607693,11303846500,500
2562,245450,CNSLINK,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,1579960,789980000,500
862,245620,EDGC,137001,Research and Experimental Development On Natural Sciences and Engineering,90011338,9001133800,100
2573,246250,SLS BIO,137209,Other Scientific and Technical Services,6865603,3432801500,500
946,246690,TSInvestment,116402,Trust and collective Investment Businesses,41477862,20738931000,500
2284,246710,T&amp;R Biofab,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,21199418,10599709000,500
1579,246720,ASTA,32103,Manufacture of Medical Supplies and Related Other Medicaments,12986525,6493262500,500
1970,246960,InnoTherapy,32103,Manufacture of Medical Supplies and Related Other Medicaments,6362195,3181097500,500
1731,247540,ECOPROBM,32802,Manufacture of Primary Cells and Batteries and Accumulators,97801344,48940909000,500
1005,247660,NANOCMS,32602,Manufacture of Electronic Components,4343920,2171960000,500
2603,248020,ZAM,32804,Manufacture of Electric Lamps and Bulbs,4771050,2385525000,500
432,248070,SOLUM,32602,Manufacture of Electronic Components,50005551,25002775500,500
402,248170,SEMPIO FOODS,31007,Manufacture of Other Food Products,4568286,2284143000,500
574,249420,IL DONG PHARM,32102,Manufacture of Medicaments,27677736,27677736000,1000
1318,250000,BORATR,74603,Wholesale of Food Beverages and Tobaccos,6750733,3375366500,500
2607,250030,JINCOSTECH,32004,Manufacture of Other Chemical Products,2589337,1294668500,500
1264,250060,Mobiis,106201,Computer programming System Integration and Management Services,32171314,3217131400,100
1802,250930,YeSUN Tech,32202,Manufacture of Plastic Products,33000440,3300044000,100
1297,251120,BIO-FD&amp;C,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,8695700,4347850000,500
193,251270,Netmarble,105802,Software Development and Supply,85953502,8595350200,100
2569,251280,AngioLab,137001,Research and Experimental Development On Natural Sciences and Engineering,2767454,1383727000,500
1850,251370,YMT,32001,Manufacture of Basic Chemicals,16314464,8157232000,500
1332,251630,V-ONE TECH,32902,Manufacture of Special-Purpose Machinery,15942886,7971443000,500
2331,251970,PUM-TECH KOREA,32202,Manufacture of Plastic Products,12400000,6200000000,500
1456,252500,SEWHA P&amp;C,32004,Manufacture of Other Chemical Products,41486390,4148639000,100
1407,252990,SEMCNS,32602,Manufacture of Electronic Components,50153846,25076923000,500
1497,253450,Studio Dragon,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,30058498,15029249000,500
1024,253590,Neosem,32902,Manufacture of Special-Purpose Machinery,41500303,4150030300,100
2541,253610,RootLoc,74607,Other Specialized Wholesale,10104305,5052152500,500
1484,253840,Sugentech,32103,Manufacture of Medical Supplies and Related Other Medicaments,16595939,8297969500,500
2043,254120,XAVIS,32902,Manufacture of Special-Purpose Machinery,30754270,3075427000,100
2602,254160,JM-MULTI,31601,Sawmilling and Planing of Wood,5160000,2580000000,500
1273,254490,MIRAI,74607,Other Specialized Wholesale,14438000,1443800000,100
930,255220,SG,32309,Manufacture of Other Non-metallic Mineral Products,47542756,4754275600,100
1651,255440,YAS,32902,Manufacture of Special-Purpose Machinery,13058000,6569000000,500
2446,256150,HDCTECH,32901,Manufacture of General Purpose Machinery,8395000,4197500000,500
2340,256630,POINTENG,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,57997072,5799707200,100
2426,256840,BNC,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,67912443,6791244300,100
2175,256940,KPS,32902,Manufacture of Special-Purpose Machinery,18748658,9374329000,500
1254,257370,MSTNS,32902,Manufacture of Special-Purpose Machinery,10097697,5048848500,500
1534,257720,Silicon2,74608,Wholesale of Non-Specialized Goods,60331084,30266265000,500
2523,257990,NOWCOS,32004,Manufacture of Other Chemical Products,5883892,2941946000,500
2626,258050,Tech Trans,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,9994242,999424200,100
2557,258250,CGT,105802,Software Development and Supply,4495003,2247501500,500
2574,258540,SL Therapeutics,137001,Research and Experimental Development On Natural Sciences and Engineering,10378119,5189059500,500
2179,258610,CAELUM,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,26787133,13393566500,500
1473,258790,SOFTCAMP,105802,Software Development and Supply,24991284,2499128400,100
1450,258830,SJM,32701,Manufacture of Medical Appliances and Instruments,55365742,5536574200,100
1795,259630,mplus,32902,Manufacture of Special-Purpose Machinery,12282402,6141201000,500
663,259960,KRAFTON,105802,Software Development and Supply,48362743,4923729000,100
1624,260660,Arlico,32103,Manufacture of Medical Supplies and Related Other Medicaments,15327021,7663510500,500
2515,260870,SK Signet,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,6106710,3053355000,500
1563,260930,CTK,32004,Manufacture of Other Chemical Products,19341591,9670795500,500
1667,260970,S&amp;D,31007,Manufacture of Other Food Products,4059420,2029710000,500
1120,261200,DENTIS,32701,Manufacture of Medical Appliances and Instruments,15754342,7877171000,500
2128,261780,CHA Vaccine,137001,Research and Experimental Development On Natural Sciences and Engineering,26676162,13338081000,500
1720,262260,A Pro,32809,Manufacture of Other Electrical Equipment,14461554,7230777000,500
1605,262840,IQUEST,105802,Software Development and Supply,9860000,986000000,100
1176,263020,DK&amp;D,32202,Manufacture of Plastic Products,15376404,7763202000,500
1954,263050,Eutilex,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,36762855,18381427500,500
1654,263540,Earth &amp; Aerospace,33103,Manufacture of Aircraft Spacecraft and its Parts,10494091,5247045500,500
1116,263600,DERKWOO ELECTRONICS,32602,Manufacture of Electronic Components,15930310,8037610500,500
1155,263690,DRGEM,32701,Manufacture of Medical Appliances and Instruments,11325610,5662805000,500
2151,263700,CLS,137103,Advertising,19414200,9804883000,500
1157,263720,D&amp;C MEDIA,105801,Publishing of Books Magazines and Other Publications,12275111,6137555500,500
2330,263750,PearlAbyss,105802,Software Development and Supply,64247855,6623450000,100
1943,263770,UST,32401,Manufacture of Basic Iron and Steel,23700172,2370017200,100
1118,263800,DATASOLUTION,74605,Wholesale of Machinery Equipment and Supplies,16216380,8108190000,500
1401,263810,SANGSHIN ELECTRONICS,32602,Manufacture of Electronic Components,14244718,7122359000,500
2103,263860,GENIANS,105802,Software Development and Supply,9444600,4722300000,500
2503,263920,HuM&amp;C,33309,Other Manufacturing n.e.c.,49045134,24522567000,500
1931,264450,Ubiquoss,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,10245706,5122853000,500
1550,264660,C&amp;G Hitech,32902,Manufacture of Special-Purpose Machinery,9168085,4584042500,500
1975,264850,Elensys,32602,Manufacture of Electronic Components,29750412,2975041200,100
661,264900,CROWN,31007,Manufacture of Other Food Products,12523850,2659482000,200
841,265520,AP Systems,32902,Manufacture of Special-Purpose Machinery,15281421,7640710500,500
1800,265560,YHTEC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),10690180,5345090000,500
1760,265740,NFC,32004,Manufacture of Other Chemical Products,8931800,893180000,100
2555,266170,REDWOODS,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,5823036,2911518000,500
2549,266470,BioInfra Life Science,137001,Research and Experimental Development On Natural Sciences and Engineering,14106847,7053423500,500
2630,266870,Power Fulx,32004,Manufacture of Other Chemical Products,6408680,3204340000,500
39,267250,HD HYUNDAI,116409,Other Financial Intermediation,78993085,81433085000,1000
43,267260,HD HYUNDAI ELECTRIC,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,36047135,180235675000,5000
40,267270,HD HYUNDAI CE,32901,Manufacture of General Purpose Machinery,19700793,98503965000,5000
149,267290,KYUNGDONG CITY GAS,43502,Manufacture of Gas Distribution of Gaseous Fuel Through Mains,5895406,14738515000,2500
1019,267320,Naintech,32902,Manufacture of Special-Purpose Machinery,43664104,4366410400,100
1306,267790,BARREL,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,7888500,3944250000,500
474,267850,AsianaIDT,106201,Computer programming System Integration and Management Services,11100000,5550000000,500
1232,267980,Maeil Dairies,31005,Manufacture of Dairy Products and edible Ice Cakes,7843638,3921819000,500
329,268280,MIWON SC,32001,Manufacture of Basic Chemicals,5000000,2633945500,500
1462,268600,Cellivery,137001,Research and Experimental Development On Natural Sciences and Engineering,36667845,18333922500,500
1507,269620,SYSWORK,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,128582580,12858258000,100
2572,270210,SR biotek,32004,Manufacture of Other Chemical Products,1242705,621352500,500
2116,270520,Geolit Energy,137201,Architectural Engineering and Related Technical Services,41762506,4176250600,100
1657,270660,Everybot,32805,Manufacture of Domestic Appliances,12191342,6095671000,500
1060,270870,Newtree,31007,Manufacture of Other Food Products,9200224,4600112000,500
520,271560,ORION,31007,Manufacture of Other Food Products,39536132,19768066000,500
2329,271830,PAMTEK,32902,Manufacture of Special-Purpose Machinery,28722846,2872284600,100
585,271940,ILJIN HYSOLUS,33109,Manufacture of Other Transport Equipment,36313190,18156595000,500
595,271980,JEIL PHARM,32102,Manufacture of Medicaments,14704872,7352436000,500
2167,272110,KnJ,32601,Manufacture of Semiconductor,7945395,3972697500,500
782,272210,HANWHA SYSTEMS,32602,Manufacture of Electronic Components,188919389,944596945000,5000
1972,272290,INNOX Advanced Materials,32602,Manufacture of Electronic Components,20201658,10100829000,500
619,272450,JIN AIR,85101,Passenger Air Transport,52200000,52200000000,1000
379,272550,SAMYANG PACKAGING,32202,Manufacture of Plastic Products,15788671,78943355000,5000
1853,273060,Wise birds,137103,Advertising,50459582,5045958200,100
1849,273640,YM Tech,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,10966000,5483000000,500
2180,274090,Kencoa Aerospace,33103,Manufacture of Aircraft Spacecraft and its Parts,12784405,6392202500,500
1965,274400,INNOSIM,105802,Software Development and Supply,7819826,3909913000,500
1670,275630,SSR,105802,Software Development and Supply,6017989,3008994500,500
1493,276040,SKONEC,105802,Software Development and Supply,12554474,6277237000,500
2587,276240,Elivision,32605,Manufacture of Electronic Video and Audio Equipment,8053138,4026569000,500
2084,276730,Jeju Beer Company,31101,Manufacture of Alcoholic Beverages,58029091,29014545500,500
1222,277070,Lindeman Asia,116402,Trust and collective Investment Businesses,13692000,6846000000,500
2013,277410,INSAN,31007,Manufacture of Other Food Products,38190860,3819086000,100
1203,277810,Rainbow Robotics,32902,Manufacture of Special-Purpose Machinery,19250946,9625473000,500
2287,277880,TSI,32902,Manufacture of Special-Purpose Machinery,20156158,10078079000,500
2131,278280,Chunbo,32001,Manufacture of Basic Chemicals,10000000,5000000000,500
873,278650,HLB bioStep,137001,Research and Experimental Development On Natural Sciences and Engineering,78600340,7860034000,100
2512,278990,EMB,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,3628222,1814111000,500
2594,279060,INNOVEX,32602,Manufacture of Electronic Components,9075076,907507600,100
1271,279600,MediaZen,105802,Software Development and Supply,4684781,2342390500,500
298,280360,LOTTE WELLFOOD,31007,Manufacture of Other Food Products,9434574,4717287000,500
1202,281740,LAKE,32004,Manufacture of Other Chemical Products,65730548,6573054800,100
635,281820,KCTECH,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,20861556,10430778000,500
4,282330,BGF Retail,74701,Retail Sale in Non-Specialized Stores,17283906,17283906000,1000
262,282690,DONG AH TIRE,32201,Manufacture of Rubber Products,13733015,6866507500,500
995,282720,KYGP,64203,Electrical and Communication Works,12119500,6059750000,500
2214,282880,COWIN,32902,Manufacture of Special-Purpose Machinery,10560379,5280189500,500
2525,283100,Novomics,137001,Research and Experimental Development On Natural Sciences and Engineering,6564899,3282449500,500
2138,284620,KAINOSMED,137001,Research and Experimental Development On Natural Sciences and Engineering,27922396,13961198000,500
660,284740,CUCKOO HOMESYS,147602,Renting of Personal and Household Goods,22437330,2243733000,100
126,285130,SKCHEM,32002,Manufacture of Plastics and Synethetic Rubber in Primary forms,17253783,98793505000,5000
1046,285490,NOVATECH,33309,Other Manufacturing n.e.c.,10575831,5287915500,500
2126,285800,JINYOUNG,32202,Manufacture of Plastic Products,17105570,1710557000,100
2563,286000,CNT Dream,32004,Manufacture of Other Chemical Products,4739422,2369711000,500
1003,286750,NANOBRICK,32001,Manufacture of Basic Chemicals,20608353,10304176500,500
300,286940,LOTTE DATA,106201,Computer programming System Integration and Management Services,15396331,76981655000,5000
2069,287410,Jeisys Medical,32701,Manufacture of Medical Appliances and Instruments,76469405,7646940500,100
1330,288330,BRIDGE BIO,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,20913159,10456579500,500
2522,288490,NARASOFT,105802,Software Development and Supply,43267005,4326700500,100
1691,288620,SFC,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,6979316,3489658000,500
1265,288980,MOADATA,105802,Software Development and Supply,33460272,16730136000,500
1590,289010,i-Scream Edu,105801,Publishing of Books Magazines and Other Publications,12864037,6432018500,500
940,289080,SV INVESTMENT,116409,Other Financial Intermediation,53234000,26617000000,500
2046,289220,GIANTSTEP,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,22121745,11060872500,500
2604,289860,GITSN,105802,Software Development and Supply,16774024,8387012000,500
2276,290090,TWIM,105802,Software Development and Supply,7379490,3689745000,500
1095,290120,Dayou AP,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),12782865,6391432500,500
2492,290270,HUNESION,105802,Software Development and Supply,9607672,4803836000,500
1094,290380,DAEYU,32003,Manufacture of Fertilizers Pesticides Germicides and Insecticides,24713612,12356806000,500
1513,290520,SHINDO,32902,Manufacture of Special-Purpose Machinery,15929362,7964681000,500
1177,290550,DK TECH,32602,Manufacture of Electronic Components,18668371,9334185500,500
1775,290650,L&amp;C BIO,32102,Manufacture of Medicaments,22684891,11388443500,500
1032,290660,NEOFECT,32701,Manufacture of Medical Appliances and Instruments,23009580,11504790000,500
1077,290670,DAE BO MAGNETIC,32809,Manufacture of Other Electrical Equipment,7857660,3928830000,500
1470,290690,SOLUX,32804,Manufacture of Electric Lamps and Bulbs,9766050,976605000,100
2345,290720,Foodnamoo,74709,Retail Sale not in Stores,13403058,6701529000,500
1646,290740,ActRo,32602,Manufacture of Electronic Components,10065011,5032505500,500
1770,291230,NP,147509,Other Business Support Services,43725551,4372555100,100
1638,291650,Aptamer Sciences,137001,Research and Experimental Development On Natural Sciences and Engineering,16980252,8490126000,500
2388,291810,Pintel,105802,Software Development and Supply,11343912,5671956000,500
702,293480,Hana Pharm,32102,Manufacture of Medicaments,17772946,8886473000,500
2139,293490,Kakao Games,105802,Software Development and Supply,82503602,8250360200,100
1015,293580,NAU IB Capital,116409,Other Financial Intermediation,95770000,47885000000,500
1639,293780,Aptabio,137001,Research and Experimental Development On Natural Sciences and Engineering,22298866,11149433000,500
457,293940,Shinhan Alpha REIT,126801,Real Estate Activities with Own or Leased Property,88100123,88100123000,1000
1996,294090,EOFlow,32701,Manufacture of Medical Appliances and Instruments,30416687,3041668700,100
1198,294140,LEMON,32005,Manufacture of Man-Made Fibers,37000000,18500000000,500
2221,294570,coocon,105802,Software Development and Supply,10254685,5127342500,500
1409,294630,SuNAM,32809,Manufacture of Other Electrical Equipment,23454847,11727423500,500
37,294870,HDC-OP,64101,Building Construction,65907330,329536650000,5000
2516,296520,GAIA CORPORATION,74604,Wholesale of Household Goods,4667008,2333504000,500
1963,296640,INNORULES,105802,Software Development and Supply,5178252,2609126000,500
1552,297090,CS BEARING,32901,Manufacture of General Purpose Machinery,27270000,13635000000,500
1623,297570,ALOYS,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,34621218,3462121800,100
869,297890,HB SOLUTION,32902,Manufacture of Special-Purpose Machinery,69202637,34794995500,500
831,298000,Hyosung Chemical,32001,Manufacture of Basic Chemicals,3190126,15950630000,5000
830,298020,Hyosung TNC,32005,Manufacture of Man-Made Fibers,4327682,21638410000,5000
828,298040,Hyosung Heavy,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,9324548,46622740000,5000
829,298050,Hyosung Advanced,32005,Manufacture of Man-Made Fibers,4479948,22399740000,5000
1664,298060,SCM,32102,Manufacture of Medicaments,17056040,8528020000,500
1699,298380,ABL Bio,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,47892539,23946269500,500
1107,298540,TNH CO. LTD,31404,Knitted and Crocheted Apparel,14710576,7355288000,500
493,298690,Air Busan,85101,Passenger Air Transport,116640000,116640000000,1000
1485,298830,Suresoft,105802,Software Development and Supply,51659901,5249687100,100
2403,299030,HANA TECHNOLOGY,32902,Manufacture of Special-Purpose Machinery,8132489,4066244500,500
1110,299170,WSI,74604,Wholesale of Household Goods,30027963,3002796300,100
2605,299480,G&amp;E Healthcare,31309,Manufacture of Other Made-Up Textile Articles Except Apparel,11100743,1110074300,100
1461,299660,Cellid,137001,Research and Experimental Development On Natural Sciences and Engineering,13602977,6801488500,500
2575,299670,SMVINA,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,5450000,545000000,100
1910,299900,WYSIWYG STUDIOS,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,171048884,85524442000,500
1315,299910,VESPA,105802,Software Development and Supply,8206916,4103458000,500
2368,300080,Flitto,106301,Data Processing Hosting and Related activities; Web Portals,5231946,2615973000,500
1186,300120,LaonPeople,105802,Software Development and Supply,20836012,10501931000,500
763,300720,HANILCMT,32303,Manufacture of Cement Lime and Plaster and Its Products,69261540,34630770000,500
1291,301300,VAIV company,105802,Software Development and Supply,12304784,6152392000,500
1964,302430,INNOMETRY,32902,Manufacture of Special-Purpose Machinery,9833208,4916604000,500
120,302440,SKBS,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,76784046,38392023000,500
1219,302550,REMED,32701,Manufacture of Medical Appliances and Instruments,6127616,3063808000,500
2530,302920,TCO,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,4552359,2276179500,500
2104,303030,Zinitix Co.Ltd.,32601,Manufacture of Semiconductor,35745668,3574566800,100
2357,303360,PROTEOMETECH,32701,Manufacture of Medical Appliances and Instruments,12874715,6437357500,500
1962,303530,INNODEP,105802,Software Development and Supply,7339299,3669649500,500
1479,304100,SALTLUX,105802,Software Development and Supply,11250419,5625209500,500
1661,304360,S.Biomedics,32102,Manufacture of Medicaments,11337076,5668538000,500
2385,304840,PeopleBio,32103,Manufacture of Medical Supplies and Related Other Medicaments,12502887,6251443500,500
1228,305090,Micro Digital,32701,Manufacture of Medical Appliances and Instruments,15636664,7818332000,500
1681,306040,SJG,31501,Manufacture of Luggage Footwear and Similar Products,9865828,4932914000,500
420,306200,SSC,32401,Manufacture of Basic Iron and Steel,2836300,14181500000,5000
1033,306620,Neontech,32902,Manufacture of Special-Purpose Machinery,41713607,4171360700,100
1597,307180,IL SCIENCE,32804,Manufacture of Electric Lamps and Bulbs,25822191,2582219100,100
1876,307280,Wonbiogen,32103,Manufacture of Medical Supplies and Related Other Medicaments,36505210,3650521000,100
986,307750,KUKJEON,32102,Manufacture of Medicaments,49069269,4906926900,100
1357,307870,B2En,105802,Software Development and Supply,33686500,3368650000,100
2149,307930,COMPANY K PARTNERS,116409,Other Financial Intermediation,15610000,9755000000,500
800,307950,HYUNDAI AUTOEVER,105802,Software Development and Supply,27423982,13711991000,500
1303,308080,ViGenCell,137001,Research and Experimental Development On Natural Sciences and Engineering,19083660,9541830000,500
1000,308100,Castelbajac,74704,Retail Sale of Textiles Clothing Footwear and Leather Goods,6624733,3312366500,500
466,308170,CTR Mobility,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),8610000,4305000000,500
2625,308700,TECHEN,32804,Manufacture of Electric Lamps and Bulbs,4000000,400000000,100
1831,309930,OHEIM &amp; Company,74705,Retail Sale of Other Household Equipment,21275390,2127539000,100
910,309960,LB Investment,116409,Other Financial Intermediation,23217239,23217239000,1000
1641,310200,ANIPLUS,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,45186656,4518665600,100
1319,310210,VRNI,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,14310469,7155234500,500
1167,310870,DYC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),20687271,2068727100,100
2588,311060,LAT,32902,Manufacture of Special-Purpose Machinery,3193402,1596701000,500
2117,311320,GO Element,32602,Manufacture of Electronic Components,12614560,6307280000,500
1029,311390,Neo Cremar,31007,Manufacture of Other Food Products,8056595,4028297500,500
847,311690,CJ Bioscience,137001,Research and Experimental Development On Natural Sciences and Engineering,9112502,4556251000,500
2578,311960,AItheNutriGene,31007,Manufacture of Other Food Products,3062664,1531332000,500
1705,312610,AFW,32802,Manufacture of Primary Cells and Batteries and Accumulators,20256888,10128444000,500
1916,313760,WILLINGS,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,5687667,2843833500,500
2100,314130,Genome&amp;Company,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,14102521,7051260500,500
1637,314140,RPBO,32102,Manufacture of Medicaments,8666361,4333180500,500
1293,314930,BIODYNE,32701,Manufacture of Medical Appliances and Instruments,6182695,3091347500,500
1181,315640,DEEPNOID,105802,Software Development and Supply,9317134,4658567000,500
524,316140,WooriFinancialGroup,116409,Other Financial Intermediation,760535260,3802676300000,5000
1182,317120,RANIX,32601,Manufacture of Semiconductor,9660000,4906920000,500
947,317240,TS Trillion,32004,Manufacture of Other Chemical Products,94447625,9444762500,100
1113,317330,Duksan Techopia,32004,Manufacture of Other Chemical Products,18377428,9188714000,500
588,317400,Xi S&amp;D,126801,Real Estate Activities with Own or Leased Property,38782520,38782520000,1000
2141,317530,CARRIESOFT,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,6961196,3480598000,500
2222,317690,QuantaMatrix,32701,Manufacture of Medical Appliances and Instruments,16537411,8268705500,500
1745,317770,Xperix,32602,Manufacture of Electronic Components,22781606,11390803000,500
1692,317830,SPSystems,32902,Manufacture of Special-Purpose Machinery,10773818,1077381800,100
1076,317850,DAEMO,32902,Manufacture of Special-Purpose Machinery,8324420,4162210000,500
2524,317860,Nordmason,32004,Manufacture of Other Chemical Products,4429715,2214857500,500
1747,317870,Envioneer,33309,Other Manufacturing n.e.c.,8344293,4172146500,500
891,318000,KBG,32002,Manufacture of Plastics and Synethetic Rubber in Primary forms,8740223,1748044600,200
2323,318010,Pharmsville,31007,Manufacture of Other Food Products,7929338,3964669000,500
2339,318020,POINT MOBILE,32603,Manufacture of Computers and Peripheral Equipment,12662272,1266227200,100
1465,318160,Cell Bio Human Tech,31309,Manufacture of Other Made-Up Textile Articles Except Apparel,8931889,4465944500,500
1341,318410,BBC,33309,Other Manufacturing n.e.c.,5555243,2777621500,500
2620,318660,TIME Technical Support,105802,Software Development and Supply,2152101,1076050500,500
2476,319400,HYUNDAI MOVEX,32901,Manufacture of General Purpose Machinery,117437072,11743707200,100
2373,319660,PSK,32902,Manufacture of Special-Purpose Machinery,28966714,14624188500,500
1913,320000,WINTEC,32902,Manufacture of Special-Purpose Machinery,18499148,1849914800,100
2356,321260,PRO2000,32601,Manufacture of Semiconductor,28192084,2819208400,100
1457,321370,SV,32803,Manufacture of Electric Lamps and Bulbs,26130380,13065190000,500
2293,321550,TiumBio,137001,Research and Experimental Development On Natural Sciences and Engineering,24482505,12241252500,500
1840,321820,WiderPlanet,105802,Software Development and Supply,6908282,3454141000,500
41,322000,HD HYUNDAI ENERGY SOLUTIONS,32601,Manufacture of Semiconductor,11200000,56000000000,5000
2278,322180,THiRA-UTECH,105802,Software Development and Supply,16399433,1643170800,100
2551,322190,VERNE,33002,Manufacture of Bodies for Motor Vehicles ; Manufacture of Trailers and Semitrailers,8925197,892519700,100
1809,322310,AUROSTECH,32902,Manufacture of Special-Purpose Machinery,9366542,4683271000,500
2076,322510,JLK,105802,Software Development and Supply,16167712,1616771200,100
2219,322780,COPUS KOREA,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,37932613,3793261300,100
2546,322970,Moogene Medi,137001,Research and Experimental Development On Natural Sciences and Engineering,10009582,5004791000,500
1790,323230,MFM KOREA,31403,Knitted and Crocheted Apparel,32865313,3286531300,100
2254,323280,TAESUNG,32902,Manufacture of Special-Purpose Machinery,25237230,2523723000,100
2527,323350,DAWON NEXVIEW,32703,Manufacture of Photographic Equipment and Optical Instruments,4750000,475000000,100
627,323410,kakaobank,116401,Banking and Savings Institutions,476767137,2383835685000,5000
1305,323990,Vaxcell-Bio,137001,Research and Experimental Development On Natural Sciences and Engineering,15223000,7611500000,500
491,326030,SK biopharm,137001,Research and Experimental Development On Natural Sciences and Engineering,78313250,39156625000,500
920,327260,RF Materials,32602,Manufacture of Electronic Components,8433231,4216615500,500
2632,327610,Femtobiomed,137001,Research and Experimental Development On Natural Sciences and Engineering,8401272,4200636000,500
1210,328130,Lunit,105802,Software Development and Supply,12381004,6190502000,500
1480,328380,Saltware,106201,Computer programming System Integration and Management Services,34262778,3426277800,100
44,329180,HD HYUNDAI HEAVY INDUSTRIES,33101,Building of Ships and Boats,88773116,443865580000,5000
1903,330350,Withus Pharm,32102,Manufacture of Medicaments,13192778,2638555600,200
294,330590,LOTTE REIT,126801,Real Estate Activities with Own or Leased Property,242968884,121484442000,500
1496,330730,Stonebridge Ventures,116409,Other Financial Intermediation,18135830,9067915000,500
1037,330860,Nepes Ark,137309,Other Professional Scientific and Technical Services n.e.c.,12184045,6092022500,500
2341,331380,FOCUS HNS,32605,Manufacture of Electronic Video and Audio Equipment,19048582,1904858200,100
1308,331520,VALOFE,105802,Software Development and Supply,50864390,5086439000,100
2636,331660,KOREA MIRACLE PEOPLE COMPANY,32004,Manufacture of Other Chemical Products,1100000,550000000,500
1459,331920,Celemics,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,8164148,4082074000,500
1055,332290,NOUSBO,32003,Manufacture of Fertilizers Pesticides Germicides and Insecticides,33384803,3338480300,100
1587,332370,IDP,32603,Manufacture of Computers and Peripheral Equipment,13273726,6636863000,500
1856,332570,WiPAM,32602,Manufacture of Electronic Components,38390356,19195178000,500
1267,333050,MOCOMSYS,105802,Software Development and Supply,23551534,2355153400,100
2035,333430,IL SEUNG,33101,Building of Ships and Boats,30726747,3072674700,100
1750,333620,Nsys,32809,Manufacture of Other Electrical Equipment,10556344,1055634400,100
565,334890,IGIS Value REIT,126801,Real Estate Activities with Own or Leased Property,51443469,51443469000,1000
2355,334970,Prestige Biologics,32102,Manufacture of Medicaments,61107969,30553984500,500
2360,335810,Precision Biosensor,32701,Manufacture of Medical Appliances and Instruments,11614526,5807263000,500
1917,335870,WING'S FOOT,74704,Retail Sale of Textiles Clothing Footwear and Leather Goods,16681422,1668142200,100
1351,335890,VIOL,32701,Manufacture of Medical Appliances and Instruments,58333152,5833315200,100
2618,336040,TASCOM,32701,Manufacture of Medical Appliances and Instruments,4204105,2102052500,500
1892,336060,Wavus,105802,Software Development and Supply,48155200,4815520000,100
